TARIH;PM10;SO2;CO;NO2;NOX;O3
4.04.2020;34;8;663;37;40;40
5.04.2020;46;5;656;34;37;53
6.04.2020;50;8;469;33;36;57
7.04.2020;21;6;259;18;19;72
8.04.2020;17;7;270;15;16;73
9.04.2020;13;7;325;24;25;63
10.04.2020;14;7;373;22;23;70
11.04.2020;23;7;362;23;33;79
12.04.2020;23;7;297;14;14;95
13.04.2020;30;8;503;32;35;66
14.04.2020;48;7;603;38;42;63
15.04.2020;24;8;437;23;23;78
16.04.2020;18;8;360;26;27;61
17.04.2020;20;5;463;34;36;54
18.04.2020;57;7;717;39;50;55
19.04.2020;24;6;361;18;18;78
20.04.2020;46;6;495;41;44;50
21.04.2020;40;7;372;38;40;63
22.04.2020;23;7;356;27;28;57
23.04.2020;8;5;295;13;14;68
24.04.2020;13;4;393;18;18;82
25.04.2020;22;5;428;19;20;75
26.04.2020;21;8;285;16;16;84
27.04.2020;32;8;434;31;31;67
28.04.2020;26;6;431;31;32;69
29.04.2020;28;6;445;33;33;69
30.04.2020;28;6;329;29;30;66
1.05.2020;28;5;286;28;29;45
2.05.2020;27;5;404;34;36;26
3.05.2020;26;6;422;32;33;31
4.05.2020;26;4;316;31;32;35
5.05.2020;26;3;294;28;30;34
6.05.2020;27;4;315;27;29;46
7.05.2020;27;5;457;43;47;36
8.05.2020;28;5;303;31;33;44
9.05.2020;28;5;431;27;29;44
10.05.2020;28;4;377;24;25;53
11.05.2020;27;5;593;44;48;50
12.05.2020;27;7;457;41;47;58
13.05.2020;27;8;486;38;44;55
14.05.2020;28;6;438;38;40;65
15.05.2020;27;6;545;47;52;63
16.05.2020;27;12;494;38;44;62
17.05.2020;26;10;208;21;22;72
18.05.2020;25;8;362;30;32;57
19.05.2020;25;12;310;26;27;59
20.05.2020;26;11;438;39;43;45
21.05.2020;27;12;470;47;54;32
22.05.2020;27;9;336;33;35;46
23.05.2020;27;7;227;17;18;52
24.05.2020;27;7;137;13;14;60
25.05.2020;27;5;201;19;20;68
26.05.2020;27;6;233;22;23;67
27.05.2020;27;5;344;30;31;70
28.05.2020;27;5;288;30;31;69
29.05.2020;27;7;239;26;27;80
30.05.2020;27;5;303;26;27;60
31.05.2020;27;5;272;22;23;69
1.06.2020;27;7;302;26;27;82
2.06.2020;27;8;277;32;34;73
3.06.2020;27;7;310;31;33;61
4.06.2020;27;4;333;28;29;56
5.06.2020;27;5;396;35;37;64
6.06.2020;27;10;470;40;47;69
7.06.2020;27;9;445;33;35;75
8.06.2020;27;11;422;35;37;78
9.06.2020;27;9;373;32;34;70
10.06.2020;27;11;439;36;40;70
11.06.2020;27;10;313;32;33;59
12.06.2020;27;6;254;28;30;49
13.06.2020;27;9;306;35;37;36
14.06.2020;27;9;334;31;33;38
15.06.2020;27;7;363;36;40;42
16.06.2020;27;8;459;34;37;43
17.06.2020;27;6;321;28;30;50
18.06.2020;27;7;296;30;32;49
19.06.2020;27;8;289;27;28;47
20.06.2020;27;5;279;24;26;55
21.06.2020;27;7;382;30;32;53
22.06.2020;27;10;346;29;30;63
23.06.2020;27;11;284;25;27;61
24.06.2020;27;8;356;26;27;72
25.06.2020;27;6;321;23;24;82
26.06.2020;27;9;290;24;26;74
27.06.2020;27;6;279;23;24;71
28.06.2020;27;9;299;24;25;76
29.06.2020;27;8;384;28;30;78
30.06.2020;27;8;297;30;32;81
1.07.2020;32;3;265;25;26;52
2.07.2020;31;4;239;27;28;57
3.07.2020;38;4;389;36;40;55
4.07.2020;38;4;357;38;40;55
5.07.2020;32;3;340;32;34;61
6.07.2020;38;3;326;61;23;45
7.07.2020;47;5;436;71;36;44
8.07.2020;46;4;216;10;10;51
9.07.2020;33;5;331;11;11;49
10.07.2020;28;3;520;11;12;35
11.07.2020;31;4;323;13;13;27
12.07.2020;30;4;357;17;18;26
13.07.2020;35;4;252;11;11;39
14.07.2020;37;4;307;12;12;46
15.07.2020;36;5;362;18;19;41
16.07.2020;36;3;304;12;13;45
17.07.2020;42;4;337;11;12;44
18.07.2020;38;3;350;16;17;42
19.07.2020;47;4;503;25;35;45
20.07.2020;62;3;393;17;18;49
21.07.2020;43;3;280;14;15;49
22.07.2020;32;3;205;10;10;50
23.07.2020;34;4;231;11;12;50
24.07.2020;36;4;283;14;16;50
25.07.2020;37;4;356;20;23;49
26.07.2020;56;5;592;30;44;45
27.07.2020;69;5;629;30;37;46
28.07.2020;54;3;411;18;21;56
29.07.2020;39;3;363;11;12;65
30.07.2020;57;6;343;22;23;50
31.07.2020;28;3;388;19;21;53
1.08.2020;27;3;377;18;20;54
2.08.2020;30;2;280;16;17;50
3.08.2020;20;3;302;29;32;52
4.08.2020;28;5;371;25;31;44
5.08.2020;36;5;398;25;30;45
6.08.2020;34;4;405;25;38;51
7.08.2020;42;5;434;29;38;46
8.08.2020;65;4;494;34;44;43
9.08.2020;40;3;335;15;15;48
10.08.2020;36;2;265;11;12;53
11.08.2020;52;4;505;14;15;25
12.08.2020;40;3;352;21;24;42
13.08.2020;43;3;384;22;25;40
14.08.2020;33;4;308;16;18;38
15.08.2020;25;4;293;18;20;25
16.08.2020;22;3;310;15;16;22
17.08.2020;37;4;351;22;26;32
18.08.2020;40;3;307;34;45;37
19.08.2020;57;6;819;43;64;37
20.08.2020;69;6;522;35;49;42
21.08.2020;33;4;306;19;21;49
22.08.2020;32;4;273;36;44;44
23.08.2020;29;4;274;38;45;40
24.08.2020;35;4;352;43;52;40
25.08.2020;35;4;375;50;67;43
26.08.2020;69;5;457;49;65;43
27.08.2020;55;8;513;53;68;44
28.08.2020;41;5;409;55;73;41
29.08.2020;39;5;473;53;73;36
30.08.2020;34;4;579;52;76;39
31.08.2020;50;5;567;57;85;39
1.09.2020;49;5;581;57;83;37
2.09.2020;64;4;554;59;89;35
3.09.2020;69;5;558;57;87;37
4.09.2020;69;5;485;47;67;34
5.09.2020;46;4;373;35;43;38
6.09.2020;25;4;294;34;44;40
7.09.2020;38;6;509;43;57;41
8.09.2020;50;5;425;46;63;32
9.09.2020;48;2;232;30;38;42
10.09.2020;34;3;273;35;50;46
11.09.2020;47;5;456;48;74;39
12.09.2020;60;5;633;53;88;25
13.09.2020;38;5;548;45;69;32
14.09.2020;43;6;461;47;67;35
15.09.2020;37;4;309;38;51;40
16.09.2020;42;4;434;44;65;37
17.09.2020;46;4;590;54;99;33
18.09.2020;58;6;578;57;82;36
19.09.2020;46;4;363;46;64;49
20.09.2020;35;3;370;46;66;45
21.09.2020;32;3;350;41;60;45
22.09.2020;32;3;294;36;51;30
23.09.2020;46;5;586;45;72;29
24.09.2020;49;6;462;54;81;32
25.09.2020;41;4;266;39;52;35
26.09.2020;37;5;514;38;59;27
